branch_id,branch_name,ifsc_code,city,state,region,opening_date
BR0001,Nagpur Branch,BKID0000001,Sambalpur,Haryana,North,2004-05-02
BR0002,Bongaigaon Branch,BKID0000002,Gudivada,Maharashtra,North,2002-03-07
BR0003,Bellary Branch,BKID0000003,Dibrugarh,Punjab,East,2002-01-27
BR0004,Bongaigaon Branch,BKID0000004,Muzaffarnagar,Manipur,South,2013-04-29
BR0005,Kozhikode Branch,BKID0000005,Mau,Himachal Pradesh,South,2004-08-26
BR0006,Kota Branch,BKID0000006,Nadiad,Bihar,South,2008-09-20
BR0007,Mahbubnagar Branch,BKID0000007,Varanasi,Telangana,North,2010-09-24
BR0008,Burhanpur Branch,BKID0000008,Suryapet,Jharkhand,North,2018-02-16
BR0009,Gangtok Branch,BKID0000009,Coimbatore,Arunachal Pradesh,West,2014-10-07
BR0010,Vijayawada Branch,BKID0000010,Salem,Madhya Pradesh,North,2007-02-07
BR0011,Ujjain Branch,BKID0000011,Raichur,Gujarat,North,2014-12-11
BR0012,Narasaraopet Branch,BKID0000012,Deoghar,Telangana,North,2006-06-10
BR0013,Nadiad Branch,BKID0000013,Proddatur,Haryana,South,2015-03-27
BR0014,Berhampur Branch,BKID0000014,Satna,Madhya Pradesh,South,2006-11-24
BR0015,Tezpur Branch,BKID0000015,Rajpur Sonarpur,Rajasthan,North,2011-07-12
BR0016,Asansol Branch,BKID0000016,Kolhapur,Haryana,South,2016-06-10
BR0017,Bhimavaram Branch,BKID0000017,Ballia,Madhya Pradesh,West,2008-10-13
BR0018,Danapur Branch,BKID0000018,Mysore,Tripura,South,2002-06-27
BR0019,Jamnagar Branch,BKID0000019,Bhusawal,Punjab,West,2002-10-25
BR0020,Kavali Branch,BKID0000020,Dehri,Himachal Pradesh,East,2020-12-17
BR0021,Raipur Branch,BKID0000021,Mau,Bihar,North,2007-05-31
BR0022,Malda Branch,BKID0000022,Firozabad,Mizoram,South,2016-10-12
BR0023,Bihar Sharif Branch,BKID0000023,Jamnagar,Kerala,West,2016-10-16
BR0024,Khora  Branch,BKID0000024,Unnao,Andhra Pradesh,East,2003-10-13
BR0025,Aizawl Branch,BKID0000025,Howrah,Haryana,East,2019-02-06
BR0026,Guwahati Branch,BKID0000026,Coimbatore,Tripura,South,2012-03-12
BR0027,Warangal Branch,BKID0000027,Jamalpur,Goa,South,2006-11-04
BR0028,Rajpur Sonarpur Branch,BKID0000028,Bijapur,Madhya Pradesh,East,2021-06-11
BR0029,Bahraich Branch,BKID0000029,Jamshedpur,Haryana,North,2006-01-14
BR0030,Jaipur Branch,BKID0000030,Giridih,Haryana,North,2001-09-08
BR0031,Berhampur Branch,BKID0000031,Patna,West Bengal,West,2008-02-25
BR0032,Alwar Branch,BKID0000032,Kakinada,Nagaland,North,2004-03-10
BR0033,Latur Branch,BKID0000033,Vellore,Gujarat,East,2003-06-06
BR0034,Raichur Branch,BKID0000034,Bulandshahr,Manipur,East,2018-10-26
BR0035,Navi Mumbai Branch,BKID0000035,Sambhal,Telangana,East,2008-04-30
BR0036,Kulti Branch,BKID0000036,Jhansi,Nagaland,North,2010-07-07
